text{ key = "action.back", value = "Back" }
text{ key = "key1.false", value = "sub 1 is bad" }
text{ key = "key1.true", value = "sub 1 is good" }
text{ key = "key2.false", value = "I think so" }
text{ key = "key2.true", value = "really?" }
text{ key = "location.abyss", value = "The Abyss" }
text{ key = "location.amalenchier_tomb", value = "Amalenchier's Tomb" }
text{ key = "location.ballast_harbor", value = "Ballast Harbor" }
text{ key = "location.bear_catacombs", value = "Bear Warriors' Catacombs" }
text{ key = "location.council_building", value = "Pirate's Outpost" }
text{ key = "location.crabhook_village", value = "Crabhook Village" }
text{ key = "location.drowned_village", value = "The Drowned Village" }
text{ key = "location.eastoak", value = "Fort Crow" }
text{ key = "location.foothills", value = "The Puzzlewood" }
text{ key = "location.ghost_ship", value = "Zephyrine's Salvation" }
text{ key = "location.goatshead_harbor", value = "Goatshead Harbor" }
text{ key = "location.goatshead_island", value = "Goatshead Island" }
text{ key = "location.gull_rock", value = "Gull Rock" }
text{ key = "location.hourglass_fort", value = "Hourglass Fort" }
text{ key = "location.ivystump", value = "Ivystump Village" }
text{ key = "location.kingsdown_isle", value = "Kingsdown Isle" }
text{ key = "location.lighthouse", value = "Crumbling Lighthouse" }
text{ key = "location.limestone_island", value = "Limestone Island" }
text{ key = "location.limestone_present", value = "Limestone Island" }
text{ key = "location.marblecliff", value = "Marblecliff Mountain" }
text{ key = "location.naerreturn_bay", value = "Naerreturn Bay" }
text{ key = "location.oakhaven", value = "Oakhaven" }
text{ key = "location.poplar_coast", value = "Spruce Head" }
text{ key = "location.poplar_forest", value = "Poplar Forest" }
text{ key = "location.port", value = "Oakhaven Port" }
text{ key = "location.shipwreck_chain", value = "Cemetery of the Waves" }
text{ key = "location.silent_glade", value = "Silent Glade" }
text{ key = "location.silent_glade_health", value = "Last Chieftan's Tomb" }
text{ key = "location.smoldering_rock", value = "Smoldering Rock" }
text{ key = "location.snapmast", value = "Snapmast Reef" }
text{ key = "location.snapmast_landing", value = "Snapmast Reef" }
text{ key = "location.spruce_head", value = "Spruce Head" }
text{ key = "location.spruce_head_shrine", value = "Spruce Head Shrine" }
text{ key = "location.sunken_palace", value = "The Old Summer Court" }
text{ key = "location.tern_marsh", value = "Tern Marsh" }
text{ key = "location.veilwood", value = "The Veilwood" }
text{ key = "location.west_coast", value = "West Oak" }
text{ key = "location.yarrowmouth", value = "Yarrowmouth" }
text{ key = "location.yarrowmouth_village", value = "Yarrowmouth" }
text{ key = "location.isle_of_storms", value = "Isle of Storms" }
text{ key = "item.whisky_for_juglan.1", value = "Whisky" }
text{ key = "item.iron_pinecone.1", value = "Iron Pinecone" }
text{ key = "item.aster_note.1", value = "Threatening Note" }
text{ key = "item.contract.1", value = "Exploitative Contract" }
text{ key = "item.oranges_shipment.1", value = "Box of Oranges" }
text{ key = "item.prize_money.1", value = "Prize Money (200 Crowns)" }
text{ key = "item.key_thrush_fort.1", value = "Thrush Fort Key" }
text{ key = "item.charts.1", value = "Klepton's Charts" }
text{ key = "item.key_kingsdown.1", value = "Mallow's Key" }
text{ key = "item.key_juniper_grove.1", value = "Juniper Grove Entrance Key" }
text{ key = "item.key_juniper_grove_2.1", value = "Juniper Grove Inner Gate Key" }
text{ key = "item.key_mushroom_spot.1", value = "Key to Mushroom Picking Spot" }
text{ key = "item.key_mead_safehouse.1", value = "Sticky Honey Key" }
text{ key = "item.key_juneberry_inn.1", value = "Key to Another Inn?" }
text{ key = "item.key_poplar_shack.1", value = "Mossy Poplar Forest Key" }
text{ key = "item.key_sinking_lighthouse.1", value = "Seaglint Ruins Key" }
text{ key = "item.stone_beak.1", value = "A Beak-shaped Stone?" }
text{ key = "item.sleeping_draught.1", value = "Sleeping Draught" }
text{ key = "item.elixer.1", value = "Elixer" }
text{ key = "item.hideout_chart.1", value = "Pirate Council Hideout Chart" }
text{ key = "item.monkshood.1", value = "Monkshood Petals" }
text{ key = "item.honeycomb.1", value = "Hornet Honeycomb" }
text{ key = "item.bomb_arrow_ticket.1", value = "Bomb Shop Ticket" }
text{ key = "item.bow_bombs.1", value = "Bomb Arrows" }
text{ key = "item.gust.1", value = "Zephyrine's Tempest" }
text{ key = "item.armor_tools.1", value = "Armorer's Tool Set" }
text{ key = "item.sword_of_the_sea_king.1", value = "Sword of the Sea King" }
text{ key = "item.oceansheart_chart.1", value = "Isle of Storms Chart" }
text{ key = "menu.quest_log.back_prompt", value = "D Back" }
text{ key = "menu.quest_log.main_quests_tab", value = "Main\nQuests" }
text{ key = "menu.quest_log.no_main_quests", value = "You have no main quests" }
text{ key = "menu.quest_log.no_side_quests", value = "You have no side quests" }
text{ key = "menu.quest_log.quest_log_update", value = "Quest Log Updated!" }
text{ key = "menu.quest_log.quests_count", value = "$v1 of $v2 complete" }
text{ key = "menu.quest_log.side_quests_tab", value = "Side\nQuests" }
text{ key = "menu.quest_log.title", value = "Quest Log" }
text{ key = "player_name", value = "Tilia" }
